2022/12/22 21:46:40 ======================================================
2022/12/23 10:29:41 Epoch#31: total loss=3.8911, Cls_loss=2.3066, Reg_loss=0.0317, Err_test=0.1322, lr = 0.000003
2022/12/23 10:30:18 Epoch#32: total loss=3.8522, Cls_loss=2.3066, Reg_loss=0.0309, Err_test=0.1322, lr = 0.000003
2022/12/23 10:30:55 Epoch#33: total loss=3.8598, Cls_loss=2.3066, Reg_loss=0.0311, Err_test=0.1320, lr = 0.000003
2022/12/23 10:31:32 Epoch#34: total loss=3.8441, Cls_loss=2.3066, Reg_loss=0.0307, Err_test=0.1321, lr = 0.000003
2022/12/23 10:32:37 ======================================================
2022/12/23 10:33:15 Epoch#0: total loss=22.1053, Cls_loss=6.5197, Reg_loss=1.5586, Err_test=0.5021, lr = 0.000350
2022/12/23 10:33:51 Epoch#1: total loss=3.9957, Cls_loss=2.5710, Reg_loss=0.1425, Err_test=0.3451, lr = 0.000350
2022/12/23 10:34:28 Epoch#2: total loss=3.6196, Cls_loss=2.4499, Reg_loss=0.1170, Err_test=0.2687, lr = 0.000350
2022/12/23 10:35:05 Epoch#3: total loss=3.5012, Cls_loss=2.4495, Reg_loss=0.1052, Err_test=0.2474, lr = 0.000350
2022/12/23 10:35:41 Epoch#4: total loss=3.4272, Cls_loss=2.4494, Reg_loss=0.0978, Err_test=0.3012, lr = 0.000350
2022/12/23 10:36:18 Epoch#5: total loss=3.3572, Cls_loss=2.4493, Reg_loss=0.0908, Err_test=0.2465, lr = 0.000350
2022/12/23 10:36:56 Epoch#6: total loss=3.2939, Cls_loss=2.4492, Reg_loss=0.0845, Err_test=0.2009, lr = 0.000350
2022/12/23 10:37:32 Epoch#7: total loss=3.2705, Cls_loss=2.4491, Reg_loss=0.0821, Err_test=0.1949, lr = 0.000350
2022/12/23 10:38:09 Epoch#8: total loss=3.2156, Cls_loss=2.4491, Reg_loss=0.0767, Err_test=0.1964, lr = 0.000350
2022/12/23 10:38:45 Epoch#9: total loss=3.1965, Cls_loss=2.4491, Reg_loss=0.0747, Err_test=0.1826, lr = 0.000350
2022/12/23 10:39:22 Epoch#10: total loss=3.1791, Cls_loss=2.4491, Reg_loss=0.0730, Err_test=0.1908, lr = 0.000014
2022/12/23 10:39:59 Epoch#11: total loss=3.0544, Cls_loss=2.4490, Reg_loss=0.0605, Err_test=0.1579, lr = 0.000070
2022/12/23 10:40:36 Epoch#12: total loss=3.0075, Cls_loss=2.4490, Reg_loss=0.0559, Err_test=0.1568, lr = 0.000070
2022/12/23 10:41:14 Epoch#13: total loss=2.9765, Cls_loss=2.4490, Reg_loss=0.0527, Err_test=0.1500, lr = 0.000070
2022/12/23 10:41:52 Epoch#14: total loss=2.9772, Cls_loss=2.4490, Reg_loss=0.0528, Err_test=0.1493, lr = 0.000070
2022/12/23 10:42:29 Epoch#15: total loss=2.9469, Cls_loss=2.4490, Reg_loss=0.0498, Err_test=0.1483, lr = 0.000070
2022/12/23 10:43:08 Epoch#16: total loss=2.9367, Cls_loss=2.4490, Reg_loss=0.0488, Err_test=0.1500, lr = 0.000070
2022/12/23 10:43:47 Epoch#17: total loss=2.9192, Cls_loss=2.4490, Reg_loss=0.0470, Err_test=0.1478, lr = 0.000070
2022/12/23 10:44:25 Epoch#18: total loss=2.9127, Cls_loss=2.4490, Reg_loss=0.0464, Err_test=0.1438, lr = 0.000070
2022/12/23 10:45:04 Epoch#19: total loss=2.9013, Cls_loss=2.4490, Reg_loss=0.0452, Err_test=0.1458, lr = 0.000070
2022/12/23 10:45:42 Epoch#20: total loss=2.9003, Cls_loss=2.4490, Reg_loss=0.0451, Err_test=0.1447, lr = 0.000003
2022/12/23 10:46:20 Epoch#21: total loss=2.8480, Cls_loss=2.4490, Reg_loss=0.0399, Err_test=0.1385, lr = 0.000014
2022/12/23 10:47:00 Epoch#22: total loss=2.8353, Cls_loss=2.4490, Reg_loss=0.0386, Err_test=0.1387, lr = 0.000014
2022/12/23 10:47:39 Epoch#23: total loss=2.8218, Cls_loss=2.4490, Reg_loss=0.0373, Err_test=0.1376, lr = 0.000014
2022/12/23 10:48:16 Epoch#24: total loss=2.8150, Cls_loss=2.4490, Reg_loss=0.0366, Err_test=0.1373, lr = 0.000014
2022/12/23 10:48:55 Epoch#25: total loss=2.8093, Cls_loss=2.4490, Reg_loss=0.0360, Err_test=0.1374, lr = 0.000014
2022/12/23 10:49:33 Epoch#26: total loss=2.8053, Cls_loss=2.4490, Reg_loss=0.0356, Err_test=0.1369, lr = 0.000014
2022/12/23 10:50:11 Epoch#27: total loss=2.8009, Cls_loss=2.4490, Reg_loss=0.0352, Err_test=0.1373, lr = 0.000014
2022/12/23 10:50:48 Epoch#28: total loss=2.7979, Cls_loss=2.4490, Reg_loss=0.0349, Err_test=0.1370, lr = 0.000014
2022/12/23 10:51:26 Epoch#29: total loss=2.7897, Cls_loss=2.4490, Reg_loss=0.0341, Err_test=0.1365, lr = 0.000014
2022/12/23 10:52:04 Epoch#30: total loss=2.7857, Cls_loss=2.4490, Reg_loss=0.0337, Err_test=0.1376, lr = 0.000001
2022/12/23 10:52:42 Epoch#31: total loss=2.7698, Cls_loss=2.4490, Reg_loss=0.0321, Err_test=0.1353, lr = 0.000003
2022/12/23 10:53:20 Epoch#32: total loss=2.7628, Cls_loss=2.4490, Reg_loss=0.0314, Err_test=0.1357, lr = 0.000003
2022/12/23 10:53:57 Epoch#33: total loss=2.7654, Cls_loss=2.4490, Reg_loss=0.0316, Err_test=0.1350, lr = 0.000003
2022/12/23 10:54:35 Epoch#34: total loss=2.7621, Cls_loss=2.4490, Reg_loss=0.0313, Err_test=0.1353, lr = 0.000003
2022/12/23 16:46:16 ======================================================
2022/12/23 16:52:51 ======================================================
2022/12/23 16:53:30 Epoch#0: total loss=22.0233, Cls_loss=6.5055, Reg_loss=1.5518, Err_test=0.5259, lr = 0.000350
2022/12/23 16:54:08 Epoch#1: total loss=4.4244, Cls_loss=2.9995, Reg_loss=0.1425, Err_test=0.4348, lr = 0.000350
2022/12/23 16:54:46 ======================================================
2022/12/23 16:55:47 Epoch#0: total loss=22.0113, Cls_loss=6.4293, Reg_loss=1.5582, Err_test=0.5423, lr = 0.000350
2022/12/23 16:56:42 Epoch#1: total loss=4.3325, Cls_loss=2.8096, Reg_loss=0.1523, Err_test=0.3625, lr = 0.000350
2022/12/23 16:57:35 Epoch#2: total loss=3.6171, Cls_loss=2.3617, Reg_loss=0.1255, Err_test=0.3012, lr = 0.000350
2022/12/23 16:58:29 Epoch#3: total loss=3.4059, Cls_loss=2.3067, Reg_loss=0.1099, Err_test=0.2516, lr = 0.000350
2022/12/23 16:59:22 Epoch#4: total loss=3.2826, Cls_loss=2.3065, Reg_loss=0.0976, Err_test=0.2417, lr = 0.000350
2022/12/23 17:00:15 Epoch#5: total loss=3.2209, Cls_loss=2.3064, Reg_loss=0.0915, Err_test=0.2224, lr = 0.000350
2022/12/23 17:01:09 Epoch#6: total loss=3.1509, Cls_loss=2.3063, Reg_loss=0.0845, Err_test=0.1982, lr = 0.000350
2022/12/23 17:02:03 Epoch#7: total loss=3.1225, Cls_loss=2.3063, Reg_loss=0.0816, Err_test=0.1963, lr = 0.000350
2022/12/23 17:02:56 Epoch#8: total loss=3.0874, Cls_loss=2.3062, Reg_loss=0.0781, Err_test=0.1909, lr = 0.000350
2022/12/23 17:03:50 Epoch#9: total loss=3.0515, Cls_loss=2.3062, Reg_loss=0.0745, Err_test=0.1829, lr = 0.000350
2022/12/23 17:04:45 Epoch#10: total loss=3.0399, Cls_loss=2.3062, Reg_loss=0.0734, Err_test=0.1828, lr = 0.000014
2022/12/23 17:05:38 Epoch#11: total loss=2.9219, Cls_loss=2.3062, Reg_loss=0.0616, Err_test=0.1504, lr = 0.000070
2022/12/23 17:07:39 Epoch#12: total loss=2.8697, Cls_loss=2.3062, Reg_loss=0.0564, Err_test=0.1502, lr = 0.000070
2022/12/23 17:08:33 Epoch#13: total loss=2.8353, Cls_loss=2.3062, Reg_loss=0.0529, Err_test=0.1460, lr = 0.000070
2022/12/23 17:09:26 Epoch#14: total loss=2.8320, Cls_loss=2.3061, Reg_loss=0.0526, Err_test=0.1453, lr = 0.000070
2022/12/23 17:10:20 Epoch#15: total loss=2.8029, Cls_loss=2.3061, Reg_loss=0.0497, Err_test=0.1440, lr = 0.000070
2022/12/23 17:11:13 Epoch#16: total loss=2.8002, Cls_loss=2.3061, Reg_loss=0.0494, Err_test=0.1465, lr = 0.000070
2022/12/23 17:12:07 Epoch#17: total loss=2.7742, Cls_loss=2.3061, Reg_loss=0.0468, Err_test=0.1461, lr = 0.000070
2022/12/23 17:13:00 Epoch#18: total loss=2.7683, Cls_loss=2.3061, Reg_loss=0.0462, Err_test=0.1421, lr = 0.000070
2022/12/23 17:13:54 Epoch#19: total loss=2.7531, Cls_loss=2.3061, Reg_loss=0.0447, Err_test=0.1408, lr = 0.000070
2022/12/23 17:14:47 Epoch#20: total loss=2.7488, Cls_loss=2.3061, Reg_loss=0.0443, Err_test=0.1436, lr = 0.000003
2022/12/23 17:15:41 Epoch#21: total loss=2.6982, Cls_loss=2.3061, Reg_loss=0.0392, Err_test=0.1344, lr = 0.000014
2022/12/23 17:16:35 Epoch#22: total loss=2.6844, Cls_loss=2.3061, Reg_loss=0.0378, Err_test=0.1343, lr = 0.000014
2022/12/23 17:17:29 Epoch#23: total loss=2.6719, Cls_loss=2.3061, Reg_loss=0.0366, Err_test=0.1337, lr = 0.000014
2022/12/23 17:18:23 Epoch#24: total loss=2.6657, Cls_loss=2.3061, Reg_loss=0.0360, Err_test=0.1334, lr = 0.000014
2022/12/23 17:19:16 Epoch#25: total loss=2.6645, Cls_loss=2.3061, Reg_loss=0.0358, Err_test=0.1330, lr = 0.000014
2022/12/23 17:20:10 Epoch#26: total loss=2.6575, Cls_loss=2.3061, Reg_loss=0.0351, Err_test=0.1330, lr = 0.000014
2022/12/23 17:21:04 Epoch#27: total loss=2.6530, Cls_loss=2.3061, Reg_loss=0.0347, Err_test=0.1333, lr = 0.000014
2022/12/23 17:21:57 Epoch#28: total loss=2.6455, Cls_loss=2.3061, Reg_loss=0.0339, Err_test=0.1334, lr = 0.000014
2022/12/23 17:22:51 Epoch#29: total loss=2.6408, Cls_loss=2.3061, Reg_loss=0.0335, Err_test=0.1321, lr = 0.000014
2022/12/23 17:23:44 Epoch#30: total loss=2.6371, Cls_loss=2.3061, Reg_loss=0.0331, Err_test=0.1332, lr = 0.000001
2022/12/23 17:24:38 Epoch#31: total loss=2.6218, Cls_loss=2.3061, Reg_loss=0.0316, Err_test=0.1313, lr = 0.000003
2022/12/23 17:25:31 Epoch#32: total loss=2.6175, Cls_loss=2.3061, Reg_loss=0.0311, Err_test=0.1317, lr = 0.000003
2022/12/23 17:26:24 Epoch#33: total loss=2.6169, Cls_loss=2.3061, Reg_loss=0.0311, Err_test=0.1312, lr = 0.000003
2022/12/23 17:27:19 Epoch#34: total loss=2.6142, Cls_loss=2.3061, Reg_loss=0.0308, Err_test=0.1316, lr = 0.000003
2022/12/23 18:30:18 ======================================================
2022/12/23 18:30:58 Epoch#0: total loss=22.2461, Cls_loss=6.4778, Reg_loss=1.5768, Err_test=0.5182, lr = 0.000350
2022/12/23 18:31:35 Epoch#1: total loss=4.3187, Cls_loss=2.6361, Reg_loss=0.1683, Err_test=0.3736, lr = 0.000350
2022/12/23 18:32:12 Epoch#2: total loss=3.7146, Cls_loss=2.3087, Reg_loss=0.1406, Err_test=0.3144, lr = 0.000350
2022/12/23 18:32:50 Epoch#3: total loss=3.5948, Cls_loss=2.3080, Reg_loss=0.1287, Err_test=0.2832, lr = 0.000350
2022/12/23 18:33:28 Epoch#4: total loss=3.5047, Cls_loss=2.3081, Reg_loss=0.1197, Err_test=0.2591, lr = 0.000350
2022/12/23 18:34:05 Epoch#5: total loss=3.4111, Cls_loss=2.3076, Reg_loss=0.1104, Err_test=0.2493, lr = 0.000350
2022/12/23 18:34:43 Epoch#6: total loss=3.3627, Cls_loss=2.3081, Reg_loss=0.1055, Err_test=0.2287, lr = 0.000350
2022/12/23 18:35:20 Epoch#7: total loss=3.3414, Cls_loss=2.3071, Reg_loss=0.1034, Err_test=0.2207, lr = 0.000350
2022/12/23 18:35:58 Epoch#8: total loss=3.2965, Cls_loss=2.3080, Reg_loss=0.0988, Err_test=0.2181, lr = 0.000350
2022/12/23 18:36:35 Epoch#9: total loss=3.2625, Cls_loss=2.3075, Reg_loss=0.0955, Err_test=0.2245, lr = 0.000350
2022/12/23 18:37:13 Epoch#10: total loss=3.2651, Cls_loss=2.3075, Reg_loss=0.0958, Err_test=0.2313, lr = 0.000014
2022/12/23 18:37:51 Epoch#11: total loss=3.1452, Cls_loss=2.3081, Reg_loss=0.0837, Err_test=0.1859, lr = 0.000070
2022/12/23 18:38:28 Epoch#12: total loss=3.1010, Cls_loss=2.3082, Reg_loss=0.0793, Err_test=0.1841, lr = 0.000070
2022/12/23 18:39:06 Epoch#13: total loss=3.0671, Cls_loss=2.3071, Reg_loss=0.0760, Err_test=0.1798, lr = 0.000070
